species
Epinephelus marginatus
Epinephelus morrhua
Epinephelus radiatus
Epinephelus tauvina
Epinephelus tukula
Equulites elongatus
Equulites klunzingeri
Equulites leuciscus
Equulites popei
Eretmophorus kleinenbergi
Erythrocles monodi
Esox lucius
Ethmalosa fimbriata
Etmopterus spinax
Etrumeus golanii
Etrumeus sadina
Eucinostomus melanopterus
Eupleurogrammus glossodon
Eurypegasus draconis
Eurypharynx pelecanoides
Eustomias achirus
Eustomias braueri
Eustomias dendriticus
Eustomias dubius
Eustomias enbarbatus
Eustomias filifer
Eustomias fissibarbis
Eustomias lipochirus
Eustomias longibarba
Eustomias macronema
Eustomias melanostigma
Eustomias obscurus
Eustomias simplex
Eustomias tetranema
Eutelichthys leptochirus
Euthynnus affinis
Euthynnus alletteratus
Eutrigla gurnardus
Evermannella balbo
Evermannella indica
Eviota guttata
Eviota prasina
Evynnis ehrenbergii
Exallias brevis
Exocoetus obtusirostris
Exocoetus volitans
Facciolella oxyrhyncha
Facciolella oxyrhynchus
Favonigobius melanobranchus
Fistularia commersonii
Fistularia petimba
Fistularia tabacaria
Flagellostomias boureei
Fodiator acutus
Foetorepus agassizii
Fowleria aurita
Fowleria isostigma
Fowleria marmorata
Fowleria vaiulae
Fowlerichthys radiosus
Fowlerichthys senegalensis
Gadella imberbis
Gadella maraldi
Gadiculus argenteus
Gadiculus thori
Gadomus arcuatus
Gadomus longifilis
Gadus macrocephalus
Gadus morhua
Gaidropsarus argentatus
Gaidropsarus biscayensis
Gaidropsarus granti
Gaidropsarus macrophthalmus
Gaidropsarus mediterraneus
Gaidropsarus vulgaris
Galeocerdo cuvier
Galeoides decadactylus
Galeorhinus galeus
Galeus atlanticus
Galeus melastomus
Gambusia affinis
Gambusia holbrooki
Gammogobius steinitzi
Gasterosteus aculeatus
Gempylus serpens
Genicanthus caudovittatus
Gephyroberyx darwinii
Gerres longirostris
Gerres oyena
Gibberichthys pumilus
Gigantactis vanhoeffeni
Ginglymostoma cirratum
Glaucostegus cemiculus
Glaucostegus halavi
Glossanodon leioglossus
Glyptocephalus cynoglossus
Gnatholepis cauerensis
Gnatholepis thompsoni
Gnathophis mystax
Gobio gobio
Gobionellus occidentalis
Gobius ater
Gobius auratus
Gobius bucchichi
Gobius cobitis
Gobius couchi
Gobius cruentatus
Gobius fallax
Gobius gasteveni
Gobius geniporus
Gobius incognitus
Gobius kolombatovici
Gobius niger
Gobius ophiocephalus
Gobius paganellus
Gobius roulei
Gobius rubropunctatus
Gobius strictus
Gobius vittatus
Gobius xanthocephalus
Gobius xoriguer
Gobiusculus flavescens
Gonichthys cocco
Gonostoma atlanticum
Gonostoma denudatum
Gonostoma elongatum
Gordiichthys leibyi
Gouania adriatica
Gouania hofrichteri
Gouania orientalis
Gouania pigra
Gouania willdenowi
Grammatostomias dentatus
Grammatostomias flagellibarba
Grammicolepis brachiusculus
Grammistes sexlineatus
Grammonus ater
Grammonus longhursti
Guentherus altivela
Guttigadus latifrons
Gymnammodytes cicerelus
Gymnammodytes semisquamatus
Gymnelus retrodorsalis
Gymnelus viridis
Gymnesigobius medits
Gymnocephalus cernua
Gymnocephalus schraetser
Gymnosarda unicolor
Gymnoscopelus microlampas
Gymnothorax afer
Gymnothorax bacalladoi
Gymnothorax flavimarginatus
Gymnothorax griseus
Gymnothorax johnsoni
Gymnothorax maderensis
Gymnothorax margaritophorus
Gymnothorax miliaris
Gymnothorax nigromarginatus
Gymnothorax nudivomer
Gymnothorax ocellatus
Gymnothorax polygonius
Gymnothorax reticularis
Gymnothorax undulatus
Gymnothorax unicolor
Gymnothorax vicinus
Gymnura altavela
Gyrinomimus myersi
Halargyreus johnsonii
Halichoeres hortulanus
