spygen_code;pool;replicates;date
SPY200804;no;SPY200788/SPY200794/SPY200798/SPY200799;2020-05-20
SPY200805;no;SPY200788/SPY200794/SPY200798/SPY200799;2020-05-20
SPY200806;no;SPY200788/SPY200794/SPY200798/SPY200799;2020-05-20
SPY200807;no;SPY200788/SPY200794/SPY200798/SPY200799;2020-05-20
SPY200808;no;SPY200808/SPY200809;2020-05-21
SPY200809;no;SPY200808/SPY200809;2020-05-21
SPY200810;no;SPY200810/SPY200811;2020-05-20
SPY200811;no;SPY200810/SPY200811;2020-05-20
SPY200812;no;SPY200812/SPY200817;2020-05-07
SPY200813;no;SPY200813/SPY200814;2020-05-20
SPY200814;no;SPY200813/SPY200814;2020-05-20
SPY200815;no;SPY200815/SPY200816;2020-05-07
SPY200816;no;SPY200815/SPY200816;2020-05-07
SPY200817;no;SPY200812/SPY200817;2020-05-07
SPY201149;no;SPY201149/SPY201151/SPY201177/SPY201193;2020-07-20
SPY201150;no;SPY201150/SPY201152/SPY201157/SPY201158;2020-07-20
SPY201151;no;SPY201149/SPY201151/SPY201177/SPY201193;2020-07-20
SPY201152;no;SPY201150/SPY201152/SPY201157/SPY201158;2020-07-20
SPY201153;no;SPY201153/SPY201162;2020-07-29
SPY201154;no;SPY200462/SPY200472/SPY200476/SPY201154;2020-07-16
SPY201155;no;SPY180622/SPY201155/SPY201156/SPY201189;2020-07-16
SPY201156;no;SPY180622/SPY201155/SPY201156/SPY201189;2020-07-16
SPY201157;no;SPY201150/SPY201152/SPY201157/SPY201158;2020-07-20
SPY201158;no;SPY201150/SPY201152/SPY201157/SPY201158;2020-07-20
SPY201159;no;SPY201159/SPY201166;2020-07-28
SPY201160;no;SPY201160/SPY201167;2020-07-27
SPY201161;no;SPY201161/SPY201190;2020-07-30
SPY201162;no;SPY201153/SPY201162;2020-07-29
SPY201163;SPY201163_SPY211163;SPY201163_SPY211163/SPY211164_SPY211167;2021-09-13
SPY201164;no;SPY201164/SPY202493;2020-07-30
SPY201166;no;SPY201159/SPY201166;2020-07-28
SPY201167;no;SPY201160/SPY201167;2020-07-27
SPY201168;no;SPY201168/SPY201170;2020-07-25
SPY201169;no;SPY201169/SPY202506;2020-07-31
SPY201170;no;SPY201168/SPY201170;2020-07-25
SPY201171;no;SPY201171/SPY202494;2020-07-27
SPY201172;no;SPY201172/SPY201185;2020-07-28
SPY201174;no;SPY201174/SPY201181/SPY202491SPY202495;2020-07-22
SPY201175;no;SPY201175/SPY201191/SPY202496/SPY202498;2020-07-21
SPY201176;no;SPY201176/SPY201179/SPY202492/SPY202499;2020-07-21
SPY201177;no;SPY201149/SPY201151/SPY201177/SPY201193;2020-07-20
SPY201178;no;SPY201178/SPY201182;2020-05-20
SPY201179;no;SPY201176/SPY201179/SPY202492/SPY202499;2020-07-21
SPY201180;no;SPY201180/SPY201186;2020-07-29
SPY201181;no;SPY201174/SPY201181/SPY202491SPY202495;2020-07-22
SPY201182;no;SPY201178/SPY201182;2020-05-20
SPY201183;no;SPY201183/SPY201188;2020-05-20
SPY201185;no;SPY201172/SPY201185;2020-07-28
SPY201186;no;SPY201180/SPY201186;2020-07-29
SPY201187;no;SPY201187/SPY201192/SPY201198/SPY202500;2020-07-22
SPY201188;no;SPY201183/SPY201188;2020-05-20
SPY201189;no;SPY180622/SPY201155/SPY201156/SPY201189;2020-07-16
SPY201190;no;SPY201161/SPY201190;2020-07-30
SPY201191;no;SPY201175/SPY201191/SPY202496/SPY202498;2020-07-21
SPY201192;no;SPY201187/SPY201192/SPY201198/SPY202500;2020-07-22
SPY201193;no;SPY201149/SPY201151/SPY201177/SPY201193;2020-07-20
SPY201194;no;SPY201194/SPY201960;2020-07-20
SPY201195;no;no;2020-06-06
SPY201196;no;SPY201196/SPY201224;2020-06-06
SPY201197;no;no;2020-06-06
SPY201198;no;SPY201187/SPY201192/SPY201198/SPY202500;2020-07-22
SPY201200;no;SPY201200/SPY201203;2020-05-23
SPY201201;no;SPY201201/SPY201240;2020-05-22
SPY201202;no;SPY200798/SPY200800/SPY201202/SPY201242;2020-05-21
SPY201203;no;SPY201200/SPY201203;2020-05-23
SPY201204;no;SPY201204/SPY201205;2020-05-23
SPY201205;no;SPY201204/SPY201205;2020-05-23
SPY201206;no;SPY201206/SPY201246;2020-05-22
SPY201207;no;SPY201207/SPY201211;2020-05-22
SPY201208;no;SPY201208/SPY201209;2020-05-21
SPY201209;no;SPY201208/SPY201209;2020-05-21
SPY201210;no;SPY201210/SPY201213;2020-05-23
SPY201211;no;SPY201207/SPY201211;2020-05-22
SPY201212;no;SPY201212/SPY201243;2020-05-27
SPY201213;no;SPY201210/SPY201213;2020-05-23
SPY201214;no;SPY201214/SPY201219/SPY201235/SPY201290;2020-06-04
SPY201215;no;SPY201215/SPY201228;2020-06-05
SPY201216;no;SPY201216/SPY201263;2020-06-25
SPY201217;no;SPY201217/SPY201233/SPY201234/SPY201284;2020-06-03
SPY201218;no;SPY201218/SPY201223;2020-05-28
SPY201219;no;SPY201214/SPY201219/SPY201235/SPY201290;2020-06-04
SPY201220;no;SPY201220/SPY201222;2020-06-05
SPY201221;no;SPY201221/SPY201227/SPY201238/SPY201264;2020-06-03
SPY201222;no;SPY201220/SPY201222;2020-06-05
SPY201223;no;SPY201218/SPY201223;2020-05-28
SPY201224;no;SPY201196/SPY201224;2020-06-06
SPY201225;no;SPY201225/SPY201229;2020-05-29
SPY201226;no;SPY201226/SPY201230;2020-05-29
SPY201227;no;SPY201221/SPY201227/SPY201238/SPY201264;2020-06-03
SPY201228;no;SPY201215/SPY201228;2020-06-05
SPY201229;no;SPY201225/SPY201229;2020-05-29
SPY201230;no;SPY201226/SPY201230;2020-05-29
SPY201231;no;SPY201231/SPY201232;2020-05-27
SPY201232;no;SPY201231/SPY201232;2020-05-27
SPY201233;no;SPY201217/SPY201233/SPY201234/SPY201284;2020-06-03
SPY201234;no;SPY201217/SPY201233/SPY201234/SPY201284;2020-06-03
SPY201235;no;SPY201214/SPY201219/SPY201235/SPY201290;2020-06-04
SPY201236;no;SPY201236/SPY201237;2020-05-27
SPY201237;no;SPY201236/SPY201237;2020-05-27
SPY201238;no;SPY201221/SPY201227/SPY201238/SPY201264;2020-06-03
SPY201239;no;SPY201239/SPY201241/SPY201247/SPY201248;2020-05-22
