"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Latitude_waypoint_start","Longitude_waypoint_start","Latitude_waypoint_end","Longitude_waypoint_end","Elevation","Time","Latitude","Longitude","extensions","Segment ID","distance_start","distance_end"
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.98,2020-07-29 15:02:06,43.1068059336,9.1476479452,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.12,2020-07-29 15:02:24,43.1071865559,9.1477319319,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.26,2020-07-29 15:02:42,43.1075769849,9.1477605142,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.99,2020-07-29 15:02:57,43.1078768056,9.1476492025,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.13,2020-07-29 15:03:09,43.1081221439,9.1475665569,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.18,2020-07-29 15:03:25,43.1084699091,9.1474951431,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.15,2020-07-29 15:03:41,43.1088023353,9.147376623,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.38,2020-07-29 15:04:03,43.1092238612,9.1472527385,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.5,2020-07-29 15:04:20,43.109588474,9.1472727712,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1.24,2020-07-29 15:04:40,43.1100093294,9.1472776327,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.98,2020-07-29 15:05:00,43.110408308,9.1471253335,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.92,2020-07-29 15:05:22,43.1108243857,9.1468920652,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.76,2020-07-29 15:05:35,43.1110734958,9.1467279475,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-0.74,2020-07-29 15:05:52,43.1113920081,9.1465421207,NA,1,12.8377533437017,9.41023549185386
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,43.106342,9.147404,43.146561,9.146504,-1,2020-07-29 15:06:09,43.1117391866,9.1464120336,NA,1,12.8377533437017,9.41023549185386
