"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY201159","no","SPY201159/SPY201166",2020-07-28,"France","Corse","saint_florent","mont_sous_marin",NA,"seamount","rocks",NA,NA,NA,42.97671,8.88714,42.99698,8.84897,NA,1,"surface_transect","10:17","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-2.678565,2020-07-28 08:17:28,42.976711,8.887139,"219",0.137823970553148,-5.810151,2020-07-28 08:47:40,42.996984,8.848968,"221",0.473353618817896
"SPY201160","no","SPY201160/SPY201167",2020-07-27,"France","Corse","saint_florent","malfalcu",NA,"coastal","meadow_sandy_bed",NA,NA,NA,42.73702,9.12198,42.73167,9.12444,NA,27,"dive_transect","13:36","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-14.507312,2020-07-27 11:00:06,42.73702,9.12198,"DEBUT",0,-17.429943,2020-07-27 10:58:18,42.73167,9.12444,"FIN",0
"SPY201161","no","SPY201161/SPY201190",2020-07-30,"France","Corse","cap_corse","ile_giraglia",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,43.02246,9.40751,43.02229,9.40789,NA,1,"surface_transect","10:43","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,2.352307,2020-07-30 08:43:03,43.022462,9.407512,"250",0.275577783619626,1.951587,2020-07-30 09:13:00,43.022289,9.407889,"252",0.137789023985811
"SPY201162","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.09,9.1436,43.06518,9.15722,NA,1,"surface_transect","16:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-3.595964,2020-07-29 14:01:05,43.090005,9.143597,"246",0.606807469112627,-0.950811,2020-07-29 14:30:31,43.065182,9.157223,"247",0.330274672007206
"SPY201164","no","SPY201164/SPY202493",2020-07-30,"France","Corse","cap_corse","porticciolo",NA,"coastal","meadow",NA,NA,NA,42.86571,9.48986,42.86567,9.48976,NA,1,"dive_transect","14:30","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-2.701997,2020-07-30 12:30:44,42.865708,9.489861,"253",0.236731795587845,-0.957114,2020-07-30 12:59:34,42.86567,9.489756,"255",0.326873493885933
"SPY201166","no","SPY201159/SPY201166",2020-07-28,"France","Corse","saint_florent","mont_sous_marin",NA,"seamount","rocks",NA,NA,NA,42.97671,8.88714,42.9869,8.87826,NA,1,"surface_transect","10:17","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-2.678565,2020-07-28 08:17:28,42.976711,8.887139,"219",0.137823970553148,-5.644706,2020-07-28 09:14:11,42.986902,8.878261,"223",0.236681035388152
"SPY201167","no","SPY201160/SPY201167",2020-07-27,"France","Corse","saint_florent","malfalcu",NA,"coastal","meadow_sandy_bed",NA,NA,NA,42.73702,9.12198,42.73167,9.12444,NA,27,"dive_transect","13:36","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-14.507312,2020-07-27 11:00:06,42.73702,9.12198,"DEBUT",0,-17.429943,2020-07-27 10:58:18,42.73167,9.12444,"FIN",0
"SPY201169","no","SPY201169/SPY202506",2020-07-31,"France","Corse","cap_corse","lavasina",NA,"coastal","meadow",NA,NA,NA,42.75878,9.47248,42.75974,9.46988,NA,1,"dive_transect","10:30","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,1.940584,2020-07-31 07:59:57,42.758779,9.472476,"257",0.345767923509415,-0.819498,2020-07-31 08:30:14,42.759738,9.46988,"261",0.222176114140153
"SPY201171","no","SPY201171/SPY202494",2020-07-27,"France","Corse","saint_florent","malfalcu",NA,"coastal","meadow_sandy_bed",NA,NA,NA,42.73702,9.12198,42.73167,9.12444,NA,1,"surface_transect","13:56","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-14.507312,2020-07-27 11:00:06,42.73702,9.12198,"DEBUT",0,-17.429943,2020-07-27 10:58:18,42.73167,9.12444,"FIN",0
"SPY201172","no","SPY201172/SPY201185",2020-07-28,"France","Corse","calvi","point_au_large",NA,"open_ocean",NA,NA,NA,NA,43.11205,8.768,43.12253,8.80317,NA,1,"surface_transect","14:07","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-7.50682,2020-07-28 12:07:26,43.112048,8.767997,"224",0.330138132091069,-3.811763,2020-07-28 12:37:59,43.12253,8.803174,"227",0.325515011337064
"SPY201174","no","SPY201174/SPY201181/SPY202491SPY202495",2020-07-22,"France","Corse","bonifacio","balise_sud",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.36332,9.32028,41.36767,9.30063,NA,1,"surface_transect","10:03","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,-0.991005,2020-07-22 08:02:49,41.363315,9.320275,"209",0.695259843758726,0.585961,2020-07-22 08:32:46,41.36767,9.300632,"210",0.167331829160611
"SPY201175","no","SPY201175/SPY201191/SPY202496/SPY202498",2020-07-21,"France","Corse","monacia_d_aullene","ile_aux_moines",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.44519,8.88995,41.45868,8.90866,NA,1,"surface_transect","9:08","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,-1.826615,2020-07-21 07:07:47,41.445196,8.889947,"196",0.71197338506578,-1.339639,2020-07-21 07:40:33,41.458684,8.908656,"197",0.555919616162465
"SPY201176","no","SPY201176/SPY201179/SPY202492/SPY202499",2020-07-21,"France","Corse","monacia_d_aullene","ile_aux_moines",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.50819,8.84477,41.51001,8.84163,NA,1,"surface_transect","10:47","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,-1.244032,2020-07-21 08:46:50,41.508189,8.844768,"198",0.200535705920659,3.702842,2020-07-21 10:15:28,41.510015,8.841635,"203",0.694705431640696
